198,Alsatia,Whitefriars,WHIT4,Agas Map,Alsatia | Fratres beatæ Mariæ de monte Carmeli | White Fryars | white Fryars | White Fryars church | white Fryers | White Fryers | white Fryers church | White-fryers | Whitefriars | Whitefriars Church,Liberties
199,Alsies Lane,Ivy Lane,IVYL1,Agas Map,Alsies Lane | Folkemares lane | Fukemerlane | Iue Lane | Iuie Lane | Ivilane | Ivy Lane,Streets
200,Amen Corner,Amen Corner,AMEN1,Agas Map,Amen Corner | Amen Lane | Amen lane,Sites
203,Anchor lane,Anchor Lane,ANCH1,Agas Map,Anchor lane | anchor lane | Ankar Lane | Anker lane | Cressynghamlane | Fatteslane | Palmers lane | Vinter’s Place,Streets
205,Andrew Morris Key,Andro Morris Key,ANDR2,Agas Map,Andrew Morris Key | Andro Morris Key | Andro Morris Quay,Riverside Features
208,Androwe in estchepe,St. Andrew Hubbard (Parish),STAN102, ,Androwe in estchepe | Androwes Eaſtcheape | S. Andrew Hubbard | St. Andrew Hubbard parish,Parishes
209,Androwe in holberne,St. Andrew Holborn (Parish),STAN101, ,Androwe in holberne | Androwes in Holborne | Parish of St. Andrew’s Holborn | St. Andrew Holborn parish,Parishes
210,Androwe in the wardroppe,St. Andrew by the Wardrobe (Parish),STAN107, ,Androwe in the wardroppe | Androws by the Wardrope | St. Andrew by the Wardrobe parish,Parishes
211,Androwe vndar shafte,St. Andrew Undershaft (Parish),STAN108, ,Androwe vndar shafte | Androwes vnderſhaft | St. Andrew Undershaft parish | Underſhafte,Parishes
216,Angel,Angel Inn,ANGE1, ,Angel | Angell,Victualling Houses
217,Angel,Angel Street,ANGE7, ,Angel,Streets
218,Angel,Hartshorn Alley,HART4, ,Angel | Angell Alley | Hartshorn Alley,Streets
219,Angel Alley,Angel Alley,ANGE8, ,Angel Alley,Streets
224,Annes at Alderſgate,St. Anne and St. Agnes (Parish),STAN109, ,Annes at Alderſgate | Anns wi th in aldarsgate | St. Anne and St. Agnes parish,Parishes
225,Annes Black Friers,St. Anne Blackfriars (Parish),STAN111, ,Annes Black Friers | Anns at Black fryers | pariſh Church of Saint Anne | St. Anne Blackfriars parish,Parishes
229,Apechurch,St. Mary (Abchurch),STMA27,Agas Map,"Apechurch | church | church of S. Mary Abchurch | S. Marie Abchurch | S. Mary Abchurch | saint Marie Abchurch | St. Mary Abchurch | St. Mary, Abchurch | Upchurch",Churches
230,Apollo,Temple Bar,TEMP1,Agas Map,Apollo | Barre | barres | New Temple | old Temple | Temple | Temple Bar | Temple bar | Temple Barre | Temple barre | temple Barre | temple barre | Temple-Bar | Temple-barre,Bars
232,Armenterslane,Coldeherburghlane,COLD4, ,Armenterslane | Coldherburgh Lane | Sayers lane | Vennel | Westoneslane,Streets
233,Armitage,Hermitage Dock,HERM2, ,Armitage | Hermitage,Sites
234,Armorers hal,Armourers’ Hall,ARMO1,Agas Map,Armorers hal | Armourers Hall | Armourers’ Hall,Halls
237,Arondel,Arundel House,ARUN1,Agas Map,Arondel | Arondel house | Arondell | Arondell-Howse | Arundel | Arundel House | Arundel house | Arundel-house | Arundell | Arundell houſe | Arundell house | Arundell House | Arundell P | Arundell-House | Bath House | Bath Inn | Bath Inn house | Bath Place | Bath Place or Bath Inn | Bathe Place | Biſhop of Bathes Inne | Bishop of Bathes Inne | Bishop of Baths Inn | Bishop of Baths Inne | Bishop of Bath’s Inn | Charterhouse | City-House | Hampton Place | Hampton place | House | House of the Bishop of Bath and Wells | Howard House | Seymour Place,Sites
241,Artillarie yard,Artillery Yard,ARTI1,Agas Map,Artillarie yard | Artillerie yard | Artillery Yard | Taſell cloſe | Tower of London Artillery Yard,Sites
247,Arundel Stairs,Arundel Stairs,ARUN4, ,Arundel Stairs | Arundell stairs,Riverside Features
256,Arundelleslane,Suffolk Lane,SUFF1,Agas Map,Arundelleslane | Suffolke lane | Wolsy Lane,Streets
257,"at, by Paul’s Wharf",Paul’s Wharf,PAUL2,Agas Map,"at, by Paul’s Wharf | Paules wharfe | Paules Wharfe | Paul’s Pier Wharf | Paul’s Stairs | Paul’s Wharf | Poles Wharfe | Powles wharfe | Powles Wharfe | Powles Wharffe | Powles wharffe | St. Paul’s Wharf",Riverside Features
260,Athelyngstrate,Watling Street,WATL1,Agas Map,Athelyngstrate | Bowergerowe | vicus S. Augustini | Waitling | Watelyng Street | Watheling ſtreet | Watheling ſtreete | Watheling ſtréet | Watheling ſtréete | Watheling Stréete | Wathelingſtreet | wathelingſtreete | Wathling | Wathling ſtreete | Watling | Watling Street | Watlyng Streete,Streets
262,Aue Marie lane,Ave Maria Lane,AVEM1,Agas Map,Aue Marie lane | Aue Mary lane | Aue Mary Lane | Aue-mary lane | Auemary lane | Ave Maria Lane | Ave-maria aly | Ave-Maria Aly,Streets
267,Auguſtine Friers,Austin Friars,AUST1,Agas Map,"Auguſtine Friers | Auguſtine Fryars | Auguſtine Fryers church | Auguſtine Fryers Church | Austen Friars, Near Dutch Church | Austin Friars | Austin friars | Austin Friary | Church of Austin Friars | Dutch Church | Dutch church | Frier Augu ſtines Church | Friers Auguſtines church | Friers Auguſtins | Friers church | Fryers Auguſtines church | Fryers church | Monastery of the Augustine Friars | Priory of Augustine Friars | S Augusti | St. Austin Friars | St. Austin priory | St. Austins Priory",Sites
271,Auntlins Pariſh,St. Antholin (Budge Row) (Parish),STAN105, ,"Auntlins Pariſh | Awntlyns perryshe | St. Antholin, Budge Row parish",Parishes
272,"Austen Friars, Near Dutch Church",Austin Friars,AUST1,Agas Map,"Auguſtine Friers | Auguſtine Fryars | Auguſtine Fryers church | Auguſtine Fryers Church | Austen Friars, Near Dutch Church | Austin Friars | Austin friars | Austin Friary | Church of Austin Friars | Dutch Church | Dutch church | Frier Augu ſtines Church | Friers Auguſtines church | Friers Auguſtins | Friers church | Fryers Auguſtines church | Fryers church | Monastery of the Augustine Friars | Priory of Augustine Friars | S Augusti | St. Austin Friars | St. Austin priory | St. Austins Priory",Sites
276,Auſtines Pariſh,"St. Augustine, Old Change (Parish)",STAU103, ,"Auſtines Pariſh | Awstens perryshe | St. Augustine, Old Change parish",Parishes
282,Axe,Axe Inn,AXEI1, ,Axe | Axe Inn,Victualling Houses
284,B edſtreete,Bread Street,BREA1,Agas Map,B edſtreete | bread | Bread ſtreat | Bread Street | bread street | Bread Street Ward | breadſtreet | Breadſtreet | Breadstreet | Breadſtréet | Breaſteeet | bred ſtreet | Bredeſtreete | Bredeſtréet | Bredſtreet | bredſtreet | Bredstreet | Bredſtreete | Bredstreete | Bredſtreete warde | Bredſtréet | Bredſtréete,Streets
285,B llinſgate,Billingsgate,BILL1,Agas Map,B llinſgate | Belingſgate | Belins gate | Belins Gate | Belinsgate | Belinſgate | Billings Gate | Billings gate | Billings-gate | Billingsgate | Billingſgate | Billinſgate | Bilnings Gate | Bylynges gate,Riverside Features
286,B. of Saliſbery his houſe,Salisbury House,SALI2,Agas Map,B. of Saliſbery his houſe | Tenement of Paule Salisberry,Sites
287,B[...]ſhinſhaw,Basinghall Street,BASI2,Agas Map,B[...]ſhinſhaw | Baſhingſh[a]w | Baſhingſhaw | Basinghall Street | Baſſinges hal ſtreete | Baſſinges hall ſtreete | Baſſinges Hall ſtréete | Bassinghallstrete | Bassinghawstrete | Baſſings hall ſtreete | Baſſings hall ſtréet | Baſſingſhaw | Baſſinſhaw | Bassisaw | Baſſiſhaw Street,Streets
288,B[i]ſhopſgateſtreet,Bishopsgate Street,BISH3,Agas Map,B[i]ſhopſgateſtreet | Biſhopſgat | Biſhopſgate | Bishopsgate | Bishopsgate and Bishopsgate Street | Bishopsgate Street | Biſhopſgate ſtreet | biſhopſgate ſtreet | Biſhopſgate street | Biſhopſgate ſtreete | Bishopsgate streete | Biſhopſgate ſtréet | Biſhopſgate ſtréete | Biſhopſgate-ſtreet | Biſhopſgateſtreet | Bisshopesgatestrete | Busshopp gate Streate | byſhop gate ſtrete,Streets
289,Babeloyne,London Wall (street),LOND3,Agas Map,Babeloyne | London wal | London wall | London Wall | London Wall (street) | London walle | London Walle | wall | Wall | Wall of the Citie | Wall of the Cittie | walles,Streets
290,Back Street,Back Street,BACK1, ,Back Street,Streets
291,backe gate of the Red Lyon,Red Lion Gate,REDL3, ,backe gate of the Red Lyon | Red Lyon gate,Gates
292,Backside,Royal Exchange,ROYA1,Agas Map,"[I]n, at South entrance of RE | [N]ear, over against RE | Backside | Burſe | Burſſe | Change | Exchange | exchange | Exchange Royal | No specific location | Pawne | pawne | Royal Exchange | Royal-Exchange | Royall Exchange | Royall Exchaunge | royall-Exchange",Sites
293,Bacon houſe,Bacon House,BACO3, ,Bacon houſe | Bacon House | Bacon house | Shelley house | Shelly houſe,Sites
296,Baggardeslane,Old Fish Street Hill,OLDF2,Agas Map,Baggardeslane | Fiſhſtreete hil | Fiſhſtreete hill | Fiſhſtréet hill | fiſhſtréet hill | Old Fiſh Street Hill | Old Fish Street Hill | Old Fiſhſteet hill | old Fishstreete hill | old fiſhſtréet | old Fiſhſtréete hill | olde Fiſhſtréet hill | Olde Fiſhſtréete Hill | Oldefisshestretelone | S. Mary Mounthaunt | Saint Mary Mounthaunt Lane | St Mary Mounthaunt lane | St. Mary Mounthaunt,Streets
297,Bailey,Old Bailey,OLDB1,Agas Map,Bailey | Bayly | Chamberlaine gate | Chamberlains houſe and court | court of the Chamberlaine | la Ballie | Old Bailey | Old Bailly | Old Baily | Old Baylie | Old baylie | old Baylie | old Bayly | Old Bayly | Olde Baily | Olde Bayly | olde Bayly,Streets
298,Bainards Caſtell Warde,Castle Baynard Ward,CAST2,Agas Map,Bainards Caſtell Warde | Baynardes Caſtell warde | Baynardes Caſtle Warde | Baynards Caſtle UUarde | Baynards Caſtle Warde | Caſtle Bainard Warde | Castle Baynard | Castle Baynard Wall | Castle Baynard Ward | Caſtle Baynard Warde | Caſtle Baynard warde | Caſtle Baynarde UUarde | Caſtle Baynarde warde | Caſtle Baynardes Warde | this Warde,Wards
299,Bainards caſtle,Baynard’s Castle,BAYN1,Agas Map,Bainards caſtle | Bainards Caſtle | Barnard’s Castle | Baynarde | Baynardes | Baynardes caſtell | Baynardes Caſtle | Baynardes caſtle | Baynardes Castle | Baynards Caſtell | Baynards caſtle | Baynards Caſtle | Baynards Castle | Baynard’s Castle | Castle Baynard | Caſtle Baynarde | Caſtle of Baynarde | Duke’s Wardrobe | Lorde of Baynardes caſtle,Sites
301,Bakehouſe,Basing Lane,BASI3,Agas Map,Bakehouſe | Baſeing lane | Baſing lane | Baſing Lane | Basing Lane | Baſſing lane | baſſing lane | Bassinglane | Kings Bakehouſe,Streets
302,Bakers hal,Bakers’ Hall,BAKE1,Agas Map,Bakers hal | Bakers hall | Bakers Hall | Chichleis houſe | Old Bakers’ Hall,Halls
305,Bakewel hall,Blackwell Hall,BAKE2,Agas Map,Bakewel hall | Bakewell hal | Bakewell hall | Bakkewellehalle | Bay hall | Black-wall | Blackewell hall | Blackwelhall | Blackwell Hall | Blakewell hall | Clifford’s Hall,Sites
309,Ball,Bell Inn (Smithfield),BELL9, ,Ball | Bell,Victualling Houses
310,Ball Alley,Ball Alley,BALL1, ,Ball Alley,Streets
311,Banaster’s Garden,Pike Gardens,PIKE1,Agas Map,Banaster’s Garden | Clinke Garden | Great Pike Garden | King’s (or Queen’s) Pike Garden | le stewes | Pike Garden | Pike Gardens | Pikeyarde | Pond Garden | Winchester House Pike Garden,Sites
312,banck-ſide,Bankside,BANK2,Agas Map,banck-ſide | Bancke-ſide | Bank-side | Bankside | Weſt banke,Streets
316,banqueting house,Banqueting House,BANQ1,Agas Map,banqueting house,Sites
